id,number_of_reviews,review_scores_rating
48261012,1,5.0
48264716,1,5.0
48265114,5,4.8
48265411,3,4.67
48313505,8,4.88
48510579,1,5.0
48531971,2,5.0
48613065,25,4.36
48743492,3,4.0
49048346,200,4.62
49048569,102,4.75
49099810,126,4.44
49209267,1,5.0
49535860,1,5.0
49863259,198,4.82
49936029,2,4.5
49951302,23,4.57
50278378,2,5.0
50294480,6,4.67
50333798,4,5.0
50433019,16,4.88
50476069,2,4.0
50562391,1,5.0
50707898,1,5.0
50708702,5,5.0
50737006,18,4.83
50822490,3,5.0
50822918,13,4.77
50823476,1,5.0
50844665,2,5.0
51075717,196,4.61
51076382,275,4.54
51131949,67,4.69
51223656,1,5.0
51660574,18,4.72
51660773,170,4.76
51661055,63,4.92
51661224,189,4.85
51759139,3,5.0
51858493,5,5.0
51898390,2,4.5
51931255,70,4.87
51931450,28,4.96
51931632,19,4.63
51946794,20,4.6
51946940,31,4.68
51947045,43,4.79
52062009,24,4.38
52062197,26,4.58
52157275,2,3.0
52301070,2,5.0
52357276,165,4.73
52357563,23,4.52
52357696,36,4.69
52357956,30,4.7
52359332,14,4.5
52360450,3,5.0
52575543,30,4.77
52575637,69,4.87
52681365,2,4.5
52910692,1,5.0
52911736,5,4.2
52977792,4,4.75
53014553,1,5.0
53038612,1,5.0
53070791,1,5.0
53073961,8,4.75
53119442,5,4.6
53122920,2,5.0
53123488,1,5.0
53166174,12,4.75
53174768,35,4.94
53175494,1,5.0
53175628,1,4.0
53175850,6,4.5
53193333,1,5.0
53196067,11,4.64
53196481,4,5.0
53222711,20,4.9
53260515,20,4.9
53260824,4,4.75
53270162,4,5.0
53281701,20,4.9
53301824,7,5.0
53355259,14,4.93
53355991,8,4.88
53374606,3,5.0
53388036,26,4.96
53406678,5,4.8
53465105,25,4.92
53465265,3,4.67
53465478,22,4.91
53483449,1,5.0
53618034,8,4.88
53622188,3,5.0
53632741,2,5.0
53633752,2,5.0
53697444,7,4.86
53819000,20,4.85
53836629,4,3.5
53836902,1,1.0
53853183,1,5.0
53855956,2,5.0
53905492,20,3.65
53905653,19,4.05
54188078,6,4.83
54204802,21,4.86
54205551,3,5.0
54205610,4,4.75
54237144,32,4.91
502480461,1,5.0
548205562,139,4.51
562605971,12,5.0
563596809,1,5.0
567225306,26,4.88
567910789,11,4.73
569225009,6,5.0
571344298,70,4.81
571352760,124,4.79
597236119,4,4.5
598767056,22,4.68
598911290,3,5.0
599562996,1,4.0
599610659,1,4.0
599626408,12,4.5
602404867,7,4.86
604716361,1,5.0
605534351,11,4.91
606329696,312,4.55
610566475,1,5.0
611242881,17,4.82
613542199,3,5.0
613551678,7,5.0
616269766,3,5.0
617247173,54,4.46
620777463,1,5.0
620788126,1,4.0
622961762,12,4.75
623042143,35,4.89
623562080,1,4.0
623646658,1,5.0
623665139,1,4.0
623676922,3,4.33
625829847,4,4.0
627856247,1,5.0
627993362,1,5.0
629189587,15,4.33
634496066,4,5.0
634534978,11,4.45
634569447,2,5.0
635987457,1,5.0
638176617,1,5.0
638201906,1,5.0
643090826,6,5.0
644687177,3,4.33
650228376,3,5.0
650233126,5,4.6
654125120,9,4.0
654132220,8,4.13
654135534,11,4.36
654139939,2,3.5
657378468,19,4.58
661126911,71,4.04
661141365,4,4.5
663003515,3,5.0
669791782,2,2.5
670691878,10,4.7
670732632,7,4.43
670740956,4,4.75
670746100,4,4.25
670750910,19,4.68
670754302,3,3.67
670758750,7,4.14
670887749,6,4.5
673763438,32,4.81
674952495,9,4.56
674964505,6,4.17
674976333,4,5.0
675675863,9,4.33
675682174,9,4.44
675861895,4,3.0
675870259,17,4.35
676406619,3,3.67
678593171,9,4.33
680200338,4,4.5
680202927,3,3.67
685013587,7,4.43
685023601,10,4.1
685035523,21,4.14
688622666,2,2.5
691733988,1,2.0
